,x
1,0.765941903743857
2,0.779388595962462
3,0.792835288181068
4,0.806281980399674
5,0.81972867261828
6,0.833175364836886
7,0.846622057055492
8,0.860068749274097
9,0.873515441492703
10,0.886962133711309
11,0.900408825929915
12,0.913855518148521
13,0.927302210367126
14,0.940748902585732
15,0.954195594804338
16,0.967642287022944
17,0.98108897924155
18,0.994535671460156
19,1.00798236367876
20,1.02142905589737
21,1.03487574811597
22,1.04832244033458
23,1.06176913255318
24,1.07521582477179
25,1.0886625169904
26,1.102109209209
27,1.11555590142761
28,1.12900259364621
29,1.14244928586482
30,1.15589597808343
31,1.16934267030203
32,1.18278936252064
33,1.19623605473924
34,1.20968274695785
35,1.22312943917645
36,1.23657613139506
37,1.25002282361367
38,1.26346951583227
39,1.27691620805088
40,1.29036290026948
